병원코드(쇼핑몰),병원명,주소,병원코드(SAP)
5036,바이미성형외과의원,서울특별시 서초구 강남대로 605 (잠원동) 세양21세기 휴먼TOWER,sap281
5037,뉴센스의원,서울 마포구 신촌로 170 (대흥동. 이대역푸르지오시티),sap282
5038,이미지업 의원,서울 서초구 나루터로 76 (잠원동. 이미지업빌딩),sap283
5039,오브의원,서울 서초구 서초대로77길 5 (서초동),sap284
5040,삼성비앤에스의원,서울 강남구 테헤란로 514 (대치동. 삼흥2빌딩),sap285
5041,다시봄날의원,경기 과천시 과천대로7길 33 (갈현동. 디 테크 타워 과천),sap286
5042,이지동안의원,서울 강남구 압구정로 168 (신사동),sap287
5043,미앤아이의원 방배점,서울 서초구 방배로 76 (방배동. 머리재빌딩),sap288
5044,닥터스피부과의원 인천검단점,인천 서구 이음대로 384 (원당동. 서영아너시티플러스),sap289
5045,밴스피부과,경기 화성시 동탄대로5길 15 (송동. 더샵 동탄센텀폴리스 1단지),sap290
5046,더나인의원,경기 파주시 미래로 377 (동패동),sap291
5047,사적인 아름다움 지유의원,경기 고양시 일산동구 정발산로 21 (장항동. 제이3타워),sap292
5048,레보필의원,대전 서구 대덕대로 189 (둔산동),sap293
5050,에이비성형외과,서울 서초구 서초대로77길 17 (서초동. BLOCK77),sap294
5051,밴스의원 화곡,서울 강서구 강서로 179 (화곡동),sap295
5052,오브디의원,경기 성남시 분당구 정자동 17-1,sap296
5053,잠실 디온의원,서울 송파구 올림픽로 96 (잠실동. 동신빌딩),sap297
5054,스케줄의원,서울특별시 강남구 도산대로49길 11 (IVY빌딩),sap298
5055,톤즈의원 안양범계점,경기도 안양시 동안구 시민대로 202 (호계동) ( 에메랄드빌딩 ),sap299
5056,더마티스트의원,인천 남동구 예술로 126 (구월동),sap300
5057,타토아의원 강남점,서울 강남구 강남대로 340 (역삼동. 경원빌딩),sap301
5059,해들인의원,서울 서대문구 신촌로 107 (창천동. 세인빌딩),sap302
5060,밴스의원,경기도 부천시 상동로 83 (그랜드프라자),sap303
5062,신통 정형외과 의원,경기 남양주시 다산중앙로145번길 15 (다산동. 신해센트럴타워Ⅱ),sap304
5063,메종드엠의원,서울 서초구 강남대로 433 (서초동),sap305
5065,리앤샤인의원,경기 평택시 용죽3로 18 (용이동),sap306
5066,닥터디자이너의원 안산,경기 안산시 단원구 고잔1길 33 (고잔동. 봉산빌딩),sap307
5067,맑고고운의원 인하대역점,인천 미추홀구 독배로 311 (용현동. 비젼프라자),sap308
5071,아이작성형외과의원,경기 성남시 수정구 위례광장로 300 (창곡동. 창곡동 509번지),sap309
5072,크리미의원,대전 유성구 대학로 9 (봉명동),sap310
5073,유앤영피부과,서울 중구 퇴계로 120 (남산동1가),sap311
5074,바로그의원 서면점,부산 부산진구 중앙대로691번길 9 (부전동),sap312
5076,밴스의원 명동,서울특별시 중구 남대문로 90 (남대문로2가) 명동N빌딩,sap313
5077,인천구월브이에스라인의원,인천 남동구 인하로489번길 10 (구월동. 시티프라자),sap314
5078,유픽의원,경기 성남시 수정구 위례광장로 104 (창곡동. 위례 한화 오벨리스크 센트럴스퀘어),sap315
5079,닥터스피부과의원,서울 마포구 마포대로 127 (공덕동. 풍림브이아이피텔),sap316
5080,밴스의원 춘천,강원 춘천시 중앙로 59 (중앙로2가),sap317
5082,미앤미의원,서울 서초구 강남대로 439 (서초동. 유화빌딩),sap318
5083,영종센트럴피부과,인천 중구 하늘중앙로 193 (중산동),sap319
5084,닥터소녀로의원,서울 강남구 논현로171길 4 (신사동),sap320
5085,닥터디자이너의원,대구 중구 동성로1길 15 (동성로3가),sap321
5087,닥터스피부과의원 서판교점,경기 성남시 분당구 운중로 237 (판교동),sap322
5089,팽팽의원,서울특별시 강남구 도산대로 121 (신사동) YK타워,sap323
5090,샤인빔의원 강서점,서울 강서구 공항대로 247 (마곡동. 퀸즈파크나인),sap324
5092,밴스의원,서울 서초구 강남대로 597 (잠원동. 진미선빌딩),sap325
5095,에버피부과,서울 강남구 압구정로 222 (신사동) ,sap326
5097,아이오르의원,경기 오산시 대원로 30 (원동),sap327
